Q2_Segovia,Segovia,Q2_Diehl,Diehl,Q2_Xu,Xu,Q2_Lomon,Lomon,Q2_Gross,Gross
0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
0.8958333333333333,0.1054421768707483,0.8275862068965517,0.13945578231292516,0.8653846153846154,0.06462585034013606,0.8275862068965517,0.13945578231292516,1.2916666666666665,0.1292517006802721
1.2916666666666665,0.20068027210884354,1.1551724137931034,0.24149659863945577,1.2307692307692308,0.13945578231292516,1.1551724137931034,0.24149659863945577,2.083333333333333,0.24149659863945577
1.6875,0.2755102040816326,1.4827586206896552,0.33503401360544216,1.596153846153846,0.22448979591836735,1.4827586206896552,0.33503401360544216,2.875,0.33503401360544216
2.083333333333333,0.35034013605442177,1.8103448275862069,0.42857142857142855,1.9615384615384615,0.2925170068027211,1.8103448275862069,0.41156462585034015,3.6666666666666665,0.37755102040816324
2.4791666666666665,0.4217687074829932,2.1379310344827585,0.5204081632653061,2.3269230769230766,0.3707482993197279,2.1379310344827585,0.4880952380952381,4.458333333333333,0.4013605442176871
2.875,0.47959183673469385,2.4655172413793105,0.5986394557823129,2.692307692307692,0.445578231292517,2.4655172413793105,0.5544217687074829,5.25,0.45068027210884354
3.270833333333333,0.5306122448979592,2.793103448275862,0.6666666666666666,3.0576923076923075,0.5136054421768708,2.793103448275862,0.6156462585034014,6.041666666666666,0.4744897959183674
3.6666666666666665,0.564625850340136,3.1206896551724137,0.717687074829932,3.423076923076923,0.5816326530612245,3.1206896551724137,0.6666666666666666,6.833333333333333,0.4965986394557823
4.0625,0.5986394557823129,3.4482758620689653,0.7687074829931972,3.7884615384615383,0.6394557823129252,3.4482758620689653,0.717687074829932,7.625,0.5085034013605442
4.458333333333333,0.6156462585034014,3.775862068965517,0.8027210884353742,4.153846153846153,0.7006802721088435,3.775862068965517,0.7687074829931972,8.416666666666666,0.5204081632653061
4.854166666666666,0.6241496598639455,4.103448275862069,0.8282312925170068,4.519230769230769,0.7585034013605442,4.103448275862069,0.8027210884353742,9.208333333333332,0.5306122448979592
5.25,0.6326530612244898,4.431034482758621,0.8537414965986394,4.884615384615384,0.8197278911564626,4.431034482758621,0.8367346938775511,10.0,0.5306122448979592
