Run,Start,Finish
2568,2022-11-14 08:42,2022-11-14 08:44
2569,2022-11-14 08:54,2022-11-14 09:02
2570,2022-11-14 09:16,2022-11-14 09:20
2571,2022-11-14 09:32,2022-11-14 09:42
2572,2022-11-14 09:53,2022-11-14 10:15
2574,2022-11-14 11:12,2022-11-14 11:39
2575,2022-11-14 12:19,2022-11-14 12:58
2576,2022-11-14 13:34,2022-11-14 14:07
2577,2022-11-14 14:40,2022-11-14 15:17
2578,2022-11-14 15:50,2022-11-14 16:57
2579,2022-11-14 16:59,2022-11-14 17:27
2580,2022-11-14 18:28,2022-11-14 18:58
2581,2022-11-14 19:37,2022-11-14 20:08
2583,2022-11-14 22:22,2022-11-14 22:51
2584,2022-11-14 23:53,2022-11-15 00:51
2585,2022-11-15 01:03,2022-11-15 01:35
2586,2022-11-15 02:28,2022-11-15 02:52
2587,2022-11-15 03:44,2022-11-15 04:33
2613,2022-11-16 09:18,2022-11-16 09:43
2614,2022-11-16 10:23,2022-11-16 10:45
2615,2022-11-16 11:03,2022-11-16 11:32
2616,2022-11-16 12:05,2022-11-16 12:28
2617,2022-11-16 13:06,2022-11-16 13:35
2618,2022-11-16 14:13,2022-11-16 14:37
2619,2022-11-16 15:48,2022-11-16 16:18
2620,2022-11-16 16:58,2022-11-16 17:19
2621,2022-11-16 18:06,2022-11-16 18:39
2622,2022-11-16 19:07,2022-11-16 19:38
2623,2022-11-16 20:11,2022-11-16 20:34
2624,2022-11-16 20:57,2022-11-16 21:23
2625,2022-11-16 21:58,2022-11-16 22:21
2626,2022-11-16 23:06,2022-11-16 23:32
2627,2022-11-17 00:12,2022-11-17 00:36
2628,2022-11-17 01:15,2022-11-17 01:40
2629,2022-11-17 02:03,2022-11-17 02:26
2630,2022-11-17 03:11,2022-11-17 03:17
2631,2022-11-17 03:20,2022-11-17 03:44
2632,2022-11-17 04:30,2022-11-17 04:57
2633,2022-11-17 05:06,2022-11-17 05:32
2634,2022-11-17 06:07,2022-11-17 06:25
2635,2022-11-17 06:43,2022-11-17 07:19
2637,2022-11-18 05:22,2022-11-18 05:52
2638,2022-11-18 06:33,2022-11-18 06:58
2646,2022-11-18 09:03,2022-11-18 09:34
2647,2022-11-18 10:07,2022-11-18 10:30
2648,2022-11-18 11:06,2022-11-18 11:38
2649,2022-11-18 12:05,2022-11-18 12:14
2650,2022-11-18 12:18,2022-11-18 12:45
2651,2022-11-18 13:51,2022-11-18 14:16
2658,2022-11-18 16:00,2022-11-18 16:20
2659,2022-11-18 17:31,2022-11-18 17:58
2660,2022-11-18 18:40,2022-11-18 19:10
2661,2022-11-18 19:53,2022-11-18 20:19
2662,2022-11-18 21:07,2022-11-18 21:30
2667,2022-11-18 22:12,2022-11-18 22:35
2668,2022-11-18 23:16,2022-11-18 23:39
2669,2022-11-19 00:19,2022-11-19 00:45
2670,2022-11-19 01:21,2022-11-19 01:46
2671,2022-11-19 02:28,2022-11-19 02:49
2674,2022-11-19 03:47,2022-11-19 04:09
2676,2022-11-19 05:18,2022-11-19 05:38
2677,2022-11-19 06:23,2022-11-19 06:51
2678,2022-11-19 07:25,2022-11-19 07:27
2679,2022-11-19 07:33,2022-11-19 07:55
2680,2022-11-19 08:28,2022-11-19 08:49
2681,2022-11-19 09:43,2022-11-19 10:04
2683,2022-11-19 11:00,2022-11-19 11:27
2684,2022-11-19 11:37,2022-11-19 12:02
2685,2022-11-19 12:29,2022-11-19 12:53
2687,2022-11-19 13:37,2022-11-19 14:01
2688,2022-11-19 14:41,2022-11-19 15:14
2689,2022-11-19 15:44,2022-11-19 16:10
2690,2022-11-19 16:50,2022-11-19 17:14
2691,2022-11-19 17:43,2022-11-19 18:15
2692,2022-11-19 18:45,2022-11-19 19:07
2693,2022-11-19 19:51,2022-11-19 20:12
2694,2022-11-19 20:40,2022-11-19 21:03
2695,2022-11-19 21:42,2022-11-19 22:08
2696,2022-11-19 22:46,2022-11-19 23:09
2697,2022-11-19 23:33,2022-11-20 00:00
2698,2022-11-20 00:34,2022-11-20 00:56
2699,2022-11-20 01:35,2022-11-20 01:56
2700,2022-11-20 02:38,2022-11-20 02:59
2701,2022-11-20 03:39,2022-11-20 04:05
2702,2022-11-20 04:45,2022-11-20 05:04
2703,2022-11-20 05:46,2022-11-20 06:07
2704,2022-11-20 06:48,2022-11-20 07:14
2705,2022-11-20 07:50,2022-11-20 08:13
2706,2022-11-20 08:50,2022-11-20 09:10
2707,2022-11-20 09:55,2022-11-20 10:16
2709,2022-11-20 11:08,2022-11-20 11:38
2710,2022-11-20 12:01,2022-11-20 12:14
2711,2022-11-20 12:24,2022-11-20 12:52
2712,2022-11-20 13:37,2022-11-20 14:00
2713,2022-11-20 14:46,2022-11-20 15:02
2714,2022-11-20 15:07,2022-11-20 15:31
2715,2022-11-20 16:12,2022-11-20 16:42
2716,2022-11-20 17:12,2022-11-20 17:35
2717,2022-11-20 18:19,2022-11-20 18:45
2718,2022-11-20 19:25,2022-11-20 19:49
2719,2022-11-20 20:30,2022-11-20 20:55
2720,2022-11-20 21:34,2022-11-20 22:10
2721,2022-11-20 22:36,2022-11-20 23:04
2722,2022-11-20 23:39,2022-11-21 00:05
2723,2022-11-21 00:44,2022-11-21 01:13
2724,2022-11-21 01:46,2022-11-21 02:13
2725,2022-11-21 02:48,2022-11-21 03:12
2726,2022-11-21 03:52,2022-11-21 04:15
2727,2022-11-21 04:53,2022-11-21 05:16
2728,2022-11-21 05:51,2022-11-21 06:16
2729,2022-11-21 06:55,2022-11-21 07:20
2730,2022-11-21 07:57,2022-11-21 08:19
2763,2022-11-21 22:38,2022-11-21 23:25
2764,2022-11-21 23:48,2022-11-22 00:23
2765,2022-11-22 00:49,2022-11-22 01:40
2766,2022-11-22 01:55,2022-11-22 02:20
2767,2022-11-22 02:57,2022-11-22 03:21
2768,2022-11-22 04:02,2022-11-22 04:29
2769,2022-11-22 05:05,2022-11-22 05:32
2770,2022-11-22 06:07,2022-11-22 06:39
2959,2022-12-01 08:51,2022-12-01 10:05
2964,2022-12-01 11:09,2022-12-01 12:26
2966,2022-12-01 12:36,2022-12-01 14:06
2967,2022-12-01 14:20,2022-12-01 15:08
2968,2022-12-01 15:13,2022-12-01 17:13
2970,2022-12-01 17:28,2022-12-01 18:43
2971,2022-12-01 18:50,2022-12-01 18:55
2973,2022-12-01 19:28,2022-12-01 20:31
2974,2022-12-01 21:00,2022-12-01 21:48
2976,2022-12-01 22:02,2022-12-01 22:13
2981,2022-12-01 22:49,2022-12-01 22:53
2983,2022-12-01 23:20,2022-12-02 00:21
2984,2022-12-02 00:27,2022-12-02 02:27
2985,2022-12-02 02:57,2022-12-02 04:56
2986,2022-12-02 05:08,2022-12-02 05:29
2988,2022-12-02 05:43,2022-12-02 06:01
2989,2022-12-02 07:23,2022-12-02 09:21
2990,2022-12-02 09:30,2022-12-02 10:06
2995,2022-12-02 10:44,2022-12-02 12:46
2996,2022-12-02 12:57,2022-12-02 13:11
2997,2022-12-02 16:14,2022-12-02 17:26
2998,2022-12-02 17:35,2022-12-02 19:30
2999,2022-12-02 19:53,2022-12-02 21:29
3000,2022-12-02 21:35,2022-12-02 22:17
3001,2022-12-02 22:22,2022-12-02 22:46
3003,2022-12-02 23:00,2022-12-02 23:30
3004,2022-12-02 23:36,2022-12-03 01:24
3005,2022-12-03 01:50,2022-12-03 03:12
3006,2022-12-03 04:00,2022-12-03 04:59
3007,2022-12-03 05:08,2022-12-03 07:31
3008,2022-12-03 07:41,2022-12-03 08:40
3009,2022-12-03 08:43,2022-12-03 09:22
3011,2022-12-03 10:40,2022-12-03 11:39
3013,2022-12-03 11:51,2022-12-03 12:52
3014,2022-12-03 13:03,2022-12-03 14:03
3016,2022-12-03 14:13,2022-12-03 15:12
3017,2022-12-03 15:19,2022-12-03 16:08
3018,2022-12-03 16:59,2022-12-03 17:45
3019,2022-12-03 17:59,2022-12-03 18:38
3020,2022-12-03 18:56,2022-12-03 19:54
3021,2022-12-03 20:00,2022-12-03 20:54
3022,2022-12-03 21:00,2022-12-03 21:19
3024,2022-12-03 22:00,2022-12-03 22:41
3025,2022-12-03 22:47,2022-12-03 23:47
3026,2022-12-03 23:51,2022-12-04 01:10
3027,2022-12-04 01:34,2022-12-04 03:53
3028,2022-12-04 03:59,2022-12-04 05:59
3029,2022-12-04 06:01,2022-12-04 06:45
3030,2022-12-04 06:51,2022-12-04 08:21
3035,2022-12-04 09:22,2022-12-04 11:01
3036,2022-12-04 11:46,2022-12-04 12:58
3037,2022-12-04 13:07,2022-12-04 13:30
3038,2022-12-04 13:39,2022-12-04 15:23
3039,2022-12-04 15:45,2022-12-04 16:15
3043,2022-12-04 17:22,2022-12-04 19:17
3045,2022-12-04 19:56,2022-12-04 21:38
3046,2022-12-04 22:02,2022-12-04 23:02
3047,2022-12-04 23:09,2022-12-04 23:27
3048,2022-12-04 23:31,2022-12-05 01:17
3049,2022-12-05 01:38,2022-12-05 03:09
3050,2022-12-05 03:42,2022-12-05 05:17
3051,2022-12-05 05:46,2022-12-05 07:35
3052,2022-12-05 07:54,2022-12-05 08:56
3054,2022-12-05 09:48,2022-12-05 10:30
3055,2022-12-05 10:37,2022-12-05 11:10
3058,2022-12-05 11:46,2022-12-05 12:57
3059,2022-12-05 13:19,2022-12-05 14:02
3061,2022-12-05 14:30,2022-12-05 15:17
3062,2022-12-05 15:30,2022-12-05 16:34
3063,2022-12-05 16:36,2022-12-05 17:43
3064,2022-12-05 17:50,2022-12-05 19:11
3065,2022-12-05 19:29,2022-12-05 20:26
3068,2022-12-05 20:58,2022-12-05 21:55
3069,2022-12-05 21:57,2022-12-05 22:19
3075,2022-12-05 23:37,2022-12-06 00:38
3076,2022-12-06 00:43,2022-12-06 01:40
3077,2022-12-06 01:47,2022-12-06 03:25
3079,2022-12-06 04:29,2022-12-06 06:20
3080,2022-12-06 06:41,2022-12-06 07:43
3082,2022-12-06 08:01,2022-12-06 09:31
3089,2022-12-06 23:26,2022-12-07 01:10
3090,2022-12-07 01:45,2022-12-07 03:06
3091,2022-12-07 03:13,2022-12-07 04:49
3092,2022-12-07 04:52,2022-12-07 06:19
3093,2022-12-07 06:59,2022-12-07 07:59
3108,2022-12-07 20:39,2022-12-07 21:42
3109,2022-12-07 21:45,2022-12-07 23:01
3110,2022-12-07 23:04,2022-12-08 00:08
3111,2022-12-08 00:10,2022-12-08 00:30
3112,2022-12-08 00:38,2022-12-08 01:51
3113,2022-12-08 01:58,2022-12-08 03:09
3114,2022-12-08 03:11,2022-12-08 04:25
3115,2022-12-08 04:34,2022-12-08 06:11
3116,2022-12-08 06:20,2022-12-08 07:30
3117,2022-12-08 07:33,2022-12-08 08:32
3118,2022-12-08 08:40,2022-12-08 09:45
3119,2022-12-08 09:48,2022-12-08 10:50
3120,2022-12-08 10:53,2022-12-08 11:54
3121,2022-12-08 11:57,2022-12-08 12:37
3122,2022-12-08 12:45,2022-12-08 13:50
3123,2022-12-08 13:52,2022-12-08 15:03
3124,2022-12-08 15:06,2022-12-08 15:54
3126,2022-12-08 16:04,2022-12-08 17:05
3127,2022-12-08 17:11,2022-12-08 17:34
3134,2022-12-08 18:19,2022-12-08 19:35
3135,2022-12-08 19:58,2022-12-08 21:13
3136,2022-12-08 21:34,2022-12-08 22:51
3138,2022-12-08 23:13,2022-12-09 00:12
3139,2022-12-09 01:25,2022-12-09 01:48
3140,2022-12-09 02:29,2022-12-09 02:56
3141,2022-12-09 03:06,2022-12-09 04:26
3149,2022-12-09 05:55,2022-12-09 06:04
3150,2022-12-09 06:07,2022-12-09 06:11
3151,2022-12-09 06:18,2022-12-09 07:15
3152,2022-12-09 07:27,2022-12-09 08:46
3158,2022-12-09 14:55,2022-12-09 15:32
3159,2022-12-09 15:39,2022-12-09 17:12
3160,2022-12-09 17:46,2022-12-09 18:56
3161,2022-12-09 19:19,2022-12-09 20:24
3162,2022-12-09 20:49,2022-12-09 21:54
3163,2022-12-09 22:13,2022-12-09 23:09
3164,2022-12-09 23:34,2022-12-10 00:41
3165,2022-12-10 00:50,2022-12-10 02:05
3166,2022-12-10 02:06,2022-12-10 03:19
3167,2022-12-10 03:28,2022-12-10 04:26
3170,2022-12-10 05:08,2022-12-10 06:02
3171,2022-12-10 06:22,2022-12-10 06:51
3173,2022-12-10 07:03,2022-12-10 07:51
3174,2022-12-10 07:55,2022-12-10 09:11
3176,2022-12-10 09:26,2022-12-10 10:28
3177,2022-12-10 10:59,2022-12-10 12:05
3178,2022-12-10 12:20,2022-12-10 13:34
3179,2022-12-10 13:46,2022-12-10 14:47
3180,2022-12-10 15:08,2022-12-10 16:20
3181,2022-12-10 16:37,2022-12-10 16:49
3182,2022-12-10 16:57,2022-12-10 18:00
3183,2022-12-10 18:03,2022-12-10 19:09
3184,2022-12-10 19:13,2022-12-10 20:09
3185,2022-12-10 20:37,2022-12-10 21:37
3186,2022-12-10 21:39,2022-12-10 22:26
3188,2022-12-11 00:31,2022-12-11 01:36
3190,2022-12-11 01:48,2022-12-11 02:59
3191,2022-12-11 03:22,2022-12-11 04:32
3192,2022-12-11 04:36,2022-12-11 05:38
3193,2022-12-11 05:59,2022-12-11 06:38
3194,2022-12-11 07:54,2022-12-11 08:58
3195,2022-12-11 09:26,2022-12-11 10:30
3196,2022-12-11 11:04,2022-12-11 12:09
3197,2022-12-11 12:36,2022-12-11 13:43
3198,2022-12-11 14:07,2022-12-11 15:17
3199,2022-12-11 15:39,2022-12-11 16:51
3200,2022-12-11 17:30,2022-12-11 18:35
3201,2022-12-11 19:00,2022-12-11 20:05
3202,2022-12-11 20:37,2022-12-11 21:47
3203,2022-12-11 22:12,2022-12-11 22:23
3204,2022-12-11 23:11,2022-12-12 00:17
3205,2022-12-12 00:43,2022-12-12 01:51
3212,2022-12-12 03:11,2022-12-12 03:21
3213,2022-12-12 03:27,2022-12-12 04:30
3214,2022-12-12 04:35,2022-12-12 05:04
3215,2022-12-12 05:06,2022-12-12 06:12
3217,2022-12-12 06:42,2022-12-12 07:50
3218,2022-12-12 08:16,2022-12-12 08:26
3219,2022-12-12 08:40,2022-12-12 09:58
3220,2022-12-12 10:34,2022-12-12 11:40
3221,2022-12-12 12:09,2022-12-12 12:43
3222,2022-12-12 12:59,2022-12-12 14:07
3223,2022-12-12 15:04,2022-12-12 16:27
3224,2022-12-12 17:09,2022-12-12 17:30
3225,2022-12-12 18:56,2022-12-12 20:14
3226,2022-12-12 20:54,2022-12-12 22:04
3227,2022-12-12 22:53,2022-12-12 23:04
3228,2022-12-12 23:08,2022-12-13 00:19
3229,2022-12-13 01:01,2022-12-13 02:08
3230,2022-12-13 02:34,2022-12-13 04:19
3231,2022-12-13 05:17,2022-12-13 05:46
3239,2022-12-14 01:25,2022-12-14 01:59
3240,2022-12-14 02:12,2022-12-14 03:08
3241,2022-12-14 03:22,2022-12-14 04:19
3242,2022-12-14 04:21,2022-12-14 05:02
3243,2022-12-14 05:21,2022-12-14 06:27
3244,2022-12-14 06:28,2022-12-14 07:17
3245,2022-12-14 07:25,2022-12-14 08:27
3246,2022-12-14 08:34,2022-12-14 09:52
3247,2022-12-14 09:55,2022-12-14 11:08
3248,2022-12-14 11:12,2022-12-14 12:04
3249,2022-12-14 13:25,2022-12-14 13:37
3250,2022-12-14 16:33,2022-12-14 16:41
3510,2023-01-15 17:35,2023-01-15 18:05
3511,2023-01-15 18:09,2023-01-15 18:38
3512,2023-01-15 18:44,2023-01-15 19:11
3514,2023-01-15 19:29,2023-01-15 19:48
3515,2023-01-15 20:30,2023-01-15 20:38
3517,2023-01-15 21:01,2023-01-15 22:10
3518,2023-01-15 22:13,2023-01-15 23:05
3519,2023-01-15 23:09,2023-01-16 00:42
3520,2023-01-16 00:45,2023-01-16 01:58
3521,2023-01-16 02:05,2023-01-16 02:32
3523,2023-01-16 02:39,2023-01-16 04:07
3524,2023-01-16 04:11,2023-01-16 05:40
3525,2023-01-16 05:43,2023-01-16 07:17
3526,2023-01-16 07:24,2023-01-16 07:55
3552,2023-01-16 21:11,2023-01-16 22:27
3553,2023-01-16 22:36,2023-01-16 23:59
3554,2023-01-17 00:02,2023-01-17 00:11
3555,2023-01-17 00:22,2023-01-17 01:20
3556,2023-01-17 01:23,2023-01-17 02:22
3557,2023-01-17 02:26,2023-01-17 03:28
3558,2023-01-17 03:34,2023-01-17 04:33
3559,2023-01-17 04:36,2023-01-17 05:38
3560,2023-01-17 05:40,2023-01-17 06:34
3561,2023-01-17 06:40,2023-01-17 07:39
3562,2023-01-17 07:43,2023-01-17 08:45
3563,2023-01-17 08:47,2023-01-17 08:51
3578,2023-01-17 15:33,2023-01-17 16:18
3579,2023-01-17 16:28,2023-01-17 17:33
3580,2023-01-17 17:35,2023-01-17 18:29
3581,2023-01-17 18:31,2023-01-17 19:20
3582,2023-01-17 20:13,2023-01-17 20:49
3583,2023-01-17 21:06,2023-01-17 21:25
3588,2023-01-17 22:39,2023-01-17 23:36
3589,2023-01-17 23:41,2023-01-18 00:50
3590,2023-01-18 00:53,2023-01-18 01:52
3591,2023-01-18 02:04,2023-01-18 03:00
3592,2023-01-18 03:03,2023-01-18 04:02
3593,2023-01-18 04:06,2023-01-18 05:01
3594,2023-01-18 05:14,2023-01-18 06:09
3595,2023-01-18 06:11,2023-01-18 07:10
3596,2023-01-18 07:13,2023-01-18 07:20
3671,2023-01-20 03:43,2023-01-20 04:32
3672,2023-01-20 04:39,2023-01-20 06:03
3673,2023-01-20 06:06,2023-01-20 07:01
3694,2023-01-21 05:43,2023-01-21 06:18
3695,2023-01-21 06:22,2023-01-21 06:49
3696,2023-01-21 07:46,2023-01-21 07:57
3697,2023-01-21 08:00,2023-01-21 08:40
3698,2023-01-21 08:46,2023-01-21 09:25
3701,2023-01-21 10:27,2023-01-21 11:12
3702,2023-01-21 11:22,2023-01-21 13:00
3703,2023-01-21 13:02,2023-01-21 14:15
3704,2023-01-21 14:22,2023-01-21 16:07
3705,2023-01-21 16:08,2023-01-21 17:15
3706,2023-01-21 17:23,2023-01-21 17:27
3708,2023-01-21 18:10,2023-01-21 18:28
3709,2023-01-21 18:43,2023-01-21 19:46
3710,2023-01-21 19:51,2023-01-21 21:02
3711,2023-01-21 21:08,2023-01-21 22:28
3712,2023-01-21 22:31,2023-01-21 23:32
3713,2023-01-21 23:36,2023-01-22 01:02
3714,2023-01-22 01:06,2023-01-22 02:35
3715,2023-01-22 02:50,2023-01-22 04:32
3716,2023-01-22 04:35,2023-01-22 05:32
3717,2023-01-22 05:39,2023-01-22 07:07
3718,2023-01-22 07:09,2023-01-22 08:24
3719,2023-01-22 08:37,2023-01-22 10:25
3720,2023-01-22 10:27,2023-01-22 10:42
3721,2023-01-22 11:06,2023-01-22 11:21
3722,2023-01-22 13:32,2023-01-22 14:35
3723,2023-01-22 14:41,2023-01-22 15:12
3729,2023-01-22 16:03,2023-01-22 17:21
3730,2023-01-22 20:26,2023-01-22 20:53
3731,2023-01-22 20:58,2023-01-22 22:02
3732,2023-01-22 22:05,2023-01-22 23:21
3733,2023-01-22 23:27,2023-01-23 00:15
3734,2023-01-23 00:21,2023-01-23 01:40
3737,2023-01-23 01:59,2023-01-23 02:32
3738,2023-01-23 03:11,2023-01-23 03:50
3739,2023-01-23 04:20,2023-01-23 05:27
3740,2023-01-23 05:36,2023-01-23 06:45
